# Freq.,Pxx2,Pxx3,Pxx4
1.840000000000000000e+02,1.244249481146666922e-08,3.831894716912716803e-08,4.191112386329942758e-08
1.850000000000000000e+02,1.027331108239669360e-08,3.646432256115160985e-08,4.408436415156882644e-08
1.860000000000000000e+02,8.886509312324323942e-09,3.198724444119486404e-08,4.556709591031890886e-08
1.870000000000000000e+02,9.392361096249230534e-09,3.648715336827014614e-08,4.583896265812642075e-08
1.880000000000000000e+02,8.715144963228778261e-09,3.657639154318792049e-08,4.555433610500566867e-08
1.890000000000000000e+02,8.372538944084432114e-09,3.904163495338248883e-08,4.299543552626862289e-08
1.900000000000000000e+02,9.078375884033358810e-09,3.982543378385143291e-08,3.566896787375167451e-08
1.910000000000000000e+02,7.228053716158176708e-09,3.476126578239843507e-08,3.468938586280407946e-08
1.920000000000000000e+02,7.025715475788750853e-09,3.267164217194812640e-08,4.647405193688192362e-08
1.930000000000000000e+02,8.152369525106760787e-09,3.471426603547502472e-08,3.810248474002544341e-08
1.940000000000000000e+02,8.527107740497113832e-09,3.161620971707185544e-08,3.216611937595113319e-08
1.950000000000000000e+02,7.857454565251874388e-09,2.871677078693393583e-08,2.956596660717717895e-08
1.960000000000000000e+02,9.106765398907934399e-09,4.541224673963099159e-08,3.392463387136654270e-08
1.970000000000000000e+02,1.168913451149755195e-08,3.212279147025864222e-08,4.062922505464565062e-08
1.980000000000000000e+02,1.067405020701349363e-08,2.856151272841703532e-08,4.259564093744810025e-08
1.990000000000000000e+02,9.631520694108888400e-09,3.353315913978284392e-08,4.512789343511459912e-08
2.000000000000000000e+02,9.550411022317273179e-09,4.367269979489492942e-08,3.518307780257146607e-08
2.010000000000000000e+02,1.149734169434340153e-08,3.868346729122955759e-08,3.395159113217246092e-08
2.020000000000000000e+02,1.032061159144568242e-08,3.559723043031002024e-08,5.071101137011599298e-08
2.030000000000000000e+02,1.101697446931468015e-08,3.094616144751211598e-08,4.869964436362703391e-08
2.040000000000000000e+02,9.251678335582183955e-09,3.517104045105384951e-08,3.444372938101254254e-08
2.050000000000000000e+02,9.279852226548676337e-09,4.217350441865162430e-08,3.592617349746252184e-08
2.060000000000000000e+02,1.031756648943290426e-08,4.122058292002452397e-08,4.603880288003260569e-08
2.070000000000000000e+02,1.134061656163352088e-08,3.857033723745464771e-08,3.278133978093752350e-08
2.080000000000000000e+02,9.778752879041183906e-09,4.926242655558335414e-08,3.069551434726185242e-08
2.090000000000000000e+02,8.298739346812243642e-09,5.489249759938173800e-08,3.265892318713013192e-08
2.100000000000000000e+02,8.754907255017843720e-09,3.686416291566234634e-08,3.422834231063463309e-08
2.110000000000000000e+02,8.031110863446810840e-09,4.285847789637707878e-08,3.958804892706100287e-08
2.120000000000000000e+02,7.889006541457689242e-09,4.674131257906373958e-08,3.141418607778723662e-08
2.130000000000000000e+02,7.705181839190224496e-09,3.402237871216294161e-08,4.075501076090092619e-08
2.140000000000000000e+02,7.439007392284053804e-09,3.422950764522286869e-08,4.825061932006661334e-08
